"","centroid","annotations","protein"
"52","centroid_1002","   00730 Thiamine metabolism","dxs"
"53","centroid_1002","   00900 Terpenoid backbone biosynthesis","dxs"
"54","centroid_1002","   2.2.1  Transketolases and transaldolases","dxs"
"55","centroid_1002","  09108 Metabolism of cofactors and vitamins","dxs"
"56","centroid_1002","  09109 Metabolism of terpenoids and polyketides","dxs"
"57","centroid_1002","  2.2  Transferring aldehyde or ketonic groups","dxs"
"58","centroid_1002"," 09100 Metabolism","dxs"
"59","centroid_1002"," 2. Transferases","dxs"
"60","centroid_10020","   02000 Transporters [BR:kpn02000]","nhaA"
"61","centroid_10020","  09183 Protein families: signaling and cellular processes","nhaA"
"62","centroid_10020"," 09180 Brite Hierarchies","nhaA"
"63","centroid_10021","   03000 Transcription factors [BR:kpn03000]","nhaR"
"64","centroid_10021","  09182 Protein families: genetic information processing","nhaR"
"65","centroid_10021"," 09180 Brite Hierarchies","nhaR"
"66","centroid_10022","   03010 Ribosome","rpsT"
"67","centroid_10022","   03011 Ribosome [BR:kpn03011]","rpsT"
"68","centroid_10022","  09122 Translation","rpsT"
"69","centroid_10022","  09182 Protein families: genetic information processing","rpsT"
"70","centroid_10022"," 09120 Genetic Information Processing","rpsT"
"71","centroid_10022"," 09180 Brite Hierarchies","rpsT"
"72","centroid_10022","(GenBank) 30S ribosomal protein S20","rpsT"
"73","centroid_10023","    2.7.1.26  riboflavin kinase","ribF"
"74","centroid_10023","    2.7.7.2  FAD synthase","ribF"
"75","centroid_10023","   00740 Riboflavin metabolism","ribF"
"76","centroid_10023","   2.7.1  Phosphotransferases with an alcohol group as acceptor","ribF"
"77","centroid_10023","   2.7.7  Nucleotidyltransferases","ribF"
"78","centroid_10023","  09108 Metabolism of cofactors and vitamins","ribF"
"79","centroid_10023","  2.7  Transferring phosphorus-containing groups","ribF"
"80","centroid_10023"," 09100 Metabolism","ribF"
"81","centroid_10023"," 2. Transferases","ribF"
"82","centroid_10023","riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]","ribF"
"83","centroid_10024","    6.1.1.5  isoleucine---tRNA ligase","ileS"
"84","centroid_10024","   00970 Aminoacyl-tRNA biosynthesis","ileS"
"85","centroid_10024","   01007 Amino acid related enzymes [BR:kpn01007]","ileS"
"86","centroid_10024","   03016 Transfer RNA biogenesis [BR:kpn03016]","ileS"
"87","centroid_10024","   6.1.1  Ligases forming aminoacyl-tRNA and related compounds","ileS"
"88","centroid_10024","  09122 Translation","ileS"
"89","centroid_10024","  09181 Protein families: metabolism","ileS"
"90","centroid_10024","  09182 Protein families: genetic information processing","ileS"
"91","centroid_10024","  6.1  Forming carbon-oxygen bonds","ileS"
"92","centroid_10024"," 09120 Genetic Information Processing","ileS"
"93","centroid_10024"," 09180 Brite Hierarchies","ileS"
"94","centroid_10024"," 6. Ligases","ileS"
"95","centroid_10025","    3.4.23.36  signal peptidase II","lspA"
"96","centroid_10025","   01002 Peptidases and inhibitors [BR:kpn01002]","lspA"
"97","centroid_10025","   03060 Protein export","lspA"
"98","centroid_10025","   3.4.23  Aspartic endopeptidases","lspA"
"99","centroid_10025","  09123 Folding, sorting and degradation","lspA"
"100","centroid_10025","  09181 Protein families: metabolism","lspA"
"101","centroid_10025","  3.4  Acting on peptide bonds (peptidases)","lspA"
"102","centroid_10025"," 09120 Genetic Information Processing","lspA"
"103","centroid_10025"," 09180 Brite Hierarchies","lspA"
"104","centroid_10025"," 3. Hydrolases","lspA"
"105","centroid_10027","    1.17.7.4  4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase","ispH"
"106","centroid_10027","   00900 Terpenoid backbone biosynthesis","ispH"
"107","centroid_10027","   1.17.7  With an iron-sulfur protein as acceptor","ispH"
"108","centroid_10027","  09109 Metabolism of terpenoids and polyketides","ispH"
"109","centroid_10027","  1.17  Acting on CH or CH2 groups","ispH"
"110","centroid_10027"," 09100 Metabolism","ispH"
"111","centroid_10027"," 1. Oxidoreductases","ispH"
"112","centroid_10028","    3.2.-.-","rihC"
"113","centroid_10028","   3.2.-  Glycosylases","rihC"
"114","centroid_10028","   99980 Enzymes with EC numbers","rihC"
"115","centroid_10028","  09191 Unclassified: metabolism","rihC"
"116","centroid_10028","  3.2  Glycosylases","rihC"
"117","centroid_10028"," 09190 Not Included in Pathway or Brite","rihC"
"118","centroid_10028"," 3. Hydrolases","rihC"
"119","centroid_1003","    2.5.1.1  dimethylallyltranstransferase","ispA"
"120","centroid_1003","    2.5.1.10  (2E,6E)-farnesyl diphosphate synthase","ispA"
"121","centroid_1003","   00900 Terpenoid backbone biosynthesis","ispA"
"122","centroid_1003","   01006 Prenyltransferases [BR:kpu01006]","ispA"
"123","centroid_1003","   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)","ispA"
"124","centroid_1003","  09109 Metabolism of terpenoids and polyketides","ispA"
"125","centroid_1003","  09181 Protein families: metabolism","ispA"
"126","centroid_1003","  2.5  Transferring alkyl or aryl groups, other than methyl groups","ispA"
"127","centroid_1003"," 09100 Metabolism","ispA"
"128","centroid_1003"," 09180 Brite Hierarchies","ispA"
"129","centroid_1003"," 2. Transferases","ispA"
"130","centroid_1003","farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]","ispA"
"131","centroid_10031","   02020 Two-component system","(GenBank) putative transcription regulator sensor for citrate"
"132","centroid_10031","   02022 Two-component system [BR:kpn02022]","(GenBank) putative transcription regulator sensor for citrate"
"133","centroid_10031","  09132 Signal transduction","(GenBank) putative transcription regulator sensor for citrate"
"134","centroid_10031","  09183 Protein families: signaling and cellular processes","(GenBank) putative transcription regulator sensor for citrate"
"135","centroid_10031"," 09130 Environmental Information Processing","(GenBank) putative transcription regulator sensor for citrate"
"136","centroid_10031"," 09180 Brite Hierarchies","(GenBank) putative transcription regulator sensor for citrate"
"137","centroid_10032","    2.7.13.3  histidine kinase","(GenBank) putative transcription regulator, histidine kinase for citrate"
"138","centroid_10032","   01001 Protein kinases [BR:kpn01001]","(GenBank) putative transcription regulator, histidine kinase for citrate"
"139","centroid_10032","   02020 Two-component system","(GenBank) putative transcription regulator, histidine kinase for citrate"
"140","centroid_10032","   02022 Two-component system [BR:kpn02022]","(GenBank) putative transcription regulator, histidine kinase for citrate"
"141","centroid_10032","   2.7.13  Protein-histidine kinases","(GenBank) putative transcription regulator, histidine kinase for citrate"
"142","centroid_10032","  09132 Signal transduction","(GenBank) putative transcription regulator, histidine kinase for citrate"
"143","centroid_10032","  09181 Protein families: metabolism","(GenBank) putative transcription regulator, histidine kinase for citrate"
"144","centroid_10032","  09183 Protein families: signaling and cellular processes","(GenBank) putative transcription regulator, histidine kinase for citrate"
"145","centroid_10032","  2.7  Transferring phosphorus-containing groups","(GenBank) putative transcription regulator, histidine kinase for citrate"
"146","centroid_10032"," 09130 Environmental Information Processing","(GenBank) putative transcription regulator, histidine kinase for citrate"
"147","centroid_10032"," 09180 Brite Hierarchies","(GenBank) putative transcription regulator, histidine kinase for citrate"
"148","centroid_10032"," 2. Transferases","(GenBank) putative transcription regulator, histidine kinase for citrate"
"149","centroid_10033","    7.2.4.1  carboxybiotin decarboxylase","dcoB"
"150","centroid_10033","   00362 Benzoate degradation","dcoB"
"151","centroid_10033","   00620 Pyruvate metabolism","dcoB"
"152","centroid_10033","   00650 Butanoate metabolism","dcoB"
"153","centroid_10033","   02000 Transporters [BR:kpn02000]","dcoB"
"154","centroid_10033","   7.2.4  Linked to decarboxylation","dcoB"
"155","centroid_10033","  09101 Carbohydrate metabolism","dcoB"
"156","centroid_10033","  09111 Xenobiotics biodegradation and metabolism","dcoB"
"157","centroid_10033","  09183 Protein families: signaling and cellular processes","dcoB"
"158","centroid_10033","  7.2  Catalysing the translocation of inorganic cations","dcoB"
"159","centroid_10033"," 09100 Metabolism","dcoB"
"160","centroid_10033"," 09180 Brite Hierarchies","dcoB"
"161","centroid_10033"," 7. Translocases","dcoB"
"162","centroid_10035","   00620 Pyruvate metabolism","dcoC"
"163","centroid_10035","   02000 Transporters [BR:kpn02000]","dcoC"
"164","centroid_10035","  09101 Carbohydrate metabolism","dcoC"
"165","centroid_10035","  09183 Protein families: signaling and cellular processes","dcoC"
"166","centroid_10035"," 09100 Metabolism","dcoC"
"167","centroid_10035"," 09180 Brite Hierarchies","dcoC"
"168","centroid_1004","    3.1.11.6  exodeoxyribonuclease VII","xseB"
"169","centroid_1004","   03400 DNA repair and recombination proteins [BR:kpu03400]","xseB"
"170","centroid_1004","   03430 Mismatch repair","xseB"
"171","centroid_1004","   3.1.11  Exodeoxyribonucleases producing 5'-phosphomonoesters","xseB"
"172","centroid_1004","  09124 Replication and repair","xseB"
"173","centroid_1004","  09182 Protein families: genetic information processing","xseB"
"174","centroid_1004","  3.1  Acting on ester bonds","xseB"
"175","centroid_1004"," 09120 Genetic Information Processing","xseB"
"176","centroid_1004"," 09180 Brite Hierarchies","xseB"
"177","centroid_1004"," 3. Hydrolases","xseB"
"178","centroid_10046","   02000 Transporters [BR:kpn02000]","yabF"
"179","centroid_10046","  09183 Protein families: signaling and cellular processes","yabF"
"180","centroid_10046"," 09180 Brite Hierarchies","yabF"
"181","centroid_1005","    2.8.1.4  tRNA uracil 4-sulfurtransferase","thiI"
"182","centroid_1005","   00730 Thiamine metabolism","thiI"
"183","centroid_1005","   03016 Transfer RNA biogenesis [BR:kpu03016]","thiI"
"184","centroid_1005","   04122 Sulfur relay system","thiI"
"185","centroid_1005","   2.8.1  Sulfurtransferases","thiI"
"186","centroid_1005","  09108 Metabolism of cofactors and vitamins","thiI"
"187","centroid_1005","  09123 Folding, sorting and degradation","thiI"
"188","centroid_1005","  09182 Protein families: genetic information processing","thiI"
"189","centroid_1005","  2.8  Transferring sulfur-containing groups","thiI"
"190","centroid_1005"," 09100 Metabolism","thiI"
"191","centroid_1005"," 09120 Genetic Information Processing","thiI"
"192","centroid_1005"," 09180 Brite Hierarchies","thiI"
"193","centroid_1005"," 2. Transferases","thiI"
"194","centroid_10051","    2.1.1.182  16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase","ksgA"
"195","centroid_10051","   03009 Ribosome biogenesis [BR:kpn03009]","ksgA"
"196","centroid_10051","   16S rRNA modification factors","ksgA"
"197","centroid_10051","   2.1.1  Methyltransferases","ksgA"
"198","centroid_10051","  09182 Protein families: genetic information processing","ksgA"
"199","centroid_10051","  2.1  Transferring one-carbon groups","ksgA"
"200","centroid_10051"," 09180 Brite Hierarchies","ksgA"
"201","centroid_10051"," 2. Transferases","ksgA"
"202","centroid_10052","    1.1.1.262  4-hydroxythreonine-4-phosphate dehydrogenase","pdxA"
"203","centroid_10052","   00750 Vitamin B6 metabolism","pdxA"
"204","centroid_10052","   1.1.1  With NAD+ or NADP+ as acceptor","pdxA"
"205","centroid_10052","  09108 Metabolism of cofactors and vitamins","pdxA"
"206","centroid_10052","  1.1  Acting on the CH-OH group of donors","pdxA"
"207","centroid_10052"," 09100 Metabolism","pdxA"
"208","centroid_10052"," 1. Oxidoreductases","pdxA"
"209","centroid_10053","    5.2.1.8  peptidylprolyl isomerase","surA"
"210","centroid_10053","   03110 Chaperones and folding catalysts [BR:kpn03110]","surA"
"211","centroid_10053","   5.2.1  cis-trans Isomerases (only sub-subclass identified to date)","surA"
"212","centroid_10053","  09182 Protein families: genetic information processing","surA"
"213","centroid_10053","  5.2  cis-trans-Isomerases","surA"
"214","centroid_10053"," 09180 Brite Hierarchies","surA"
"215","centroid_10053"," 5. Isomerases","surA"
"216","centroid_10054","   02000 Transporters [BR:kpn02000]","imp"
"217","centroid_10054","  09183 Protein families: signaling and cellular processes","imp"
"218","centroid_10054"," 09180 Brite Hierarchies","imp"
"219","centroid_10055","   03110 Chaperones and folding catalysts [BR:kpn03110]","djlA"
"220","centroid_10055","  09182 Protein families: genetic information processing","djlA"
"221","centroid_10055"," 09180 Brite Hierarchies","djlA"
"222","centroid_10056","   02020 Two-component system","(GenBank) two-component response regulator"
"223","centroid_10056","   02022 Two-component system [BR:kpn02022]","(GenBank) two-component response regulator"
"224","centroid_10056","  09132 Signal transduction","(GenBank) two-component response regulator"
"225","centroid_10056","  09183 Protein families: signaling and cellular processes","(GenBank) two-component response regulator"
"226","centroid_10056"," 09130 Environmental Information Processing","(GenBank) two-component response regulator"
"227","centroid_10056"," 09180 Brite Hierarchies","(GenBank) two-component response regulator"
"228","centroid_10057","    2.7.13.3  histidine kinase","(GenBank) two-component sensor kinase"
"229","centroid_10057","   01001 Protein kinases [BR:kpn01001]","(GenBank) two-component sensor kinase"
"230","centroid_10057","   02020 Two-component system","(GenBank) two-component sensor kinase"
"231","centroid_10057","   02022 Two-component system [BR:kpn02022]","(GenBank) two-component sensor kinase"
"232","centroid_10057","   2.7.13  Protein-histidine kinases","(GenBank) two-component sensor kinase"
"233","centroid_10057","  09132 Signal transduction","(GenBank) two-component sensor kinase"
"234","centroid_10057","  09181 Protein families: metabolism","(GenBank) two-component sensor kinase"
"235","centroid_10057","  09183 Protein families: signaling and cellular processes","(GenBank) two-component sensor kinase"
"236","centroid_10057","  2.7  Transferring phosphorus-containing groups","(GenBank) two-component sensor kinase"
"237","centroid_10057"," 09130 Environmental Information Processing","(GenBank) two-component sensor kinase"
"238","centroid_10057"," 09180 Brite Hierarchies","(GenBank) two-component sensor kinase"
"239","centroid_10057"," 2. Transferases","(GenBank) two-component sensor kinase"
"240","centroid_10059","    2.7.7.61  citrate lyase holo-[acyl-carrier protein] synthase","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"241","centroid_10059","   02020 Two-component system","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"242","centroid_10059","   2.7.7  Nucleotidyltransferases","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"243","centroid_10059","  09132 Signal transduction","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"244","centroid_10059","  2.7  Transferring phosphorus-containing groups","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"245","centroid_10059"," 09130 Environmental Information Processing","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"246","centroid_10059"," 2. Transferases","(GenBank) phosphoribosyl-dephospho-CoA transferase"
"247","centroid_10060","    5.4.99.28  tRNA pseudouridine32 synthase","rluA"
"248","centroid_10060","    5.4.99.29  23S rRNA pseudouridine746 synthase","rluA"
"249","centroid_10060","   03009 Ribosome biogenesis [BR:kpn03009]","rluA"
"250","centroid_10060","   03016 Transfer RNA biogenesis [BR:kpn03016]","rluA"
"251","centroid_10060","   23S rRNA modification factors","rluA"
"252","centroid_10060","   5.4.99  Transferring other groups","rluA"
"253","centroid_10060","  09182 Protein families: genetic information processing","rluA"
"254","centroid_10060","  5.4  Intramolecular transferases","rluA"
"255","centroid_10060"," 09180 Brite Hierarchies","rluA"
"256","centroid_10060"," 5. Isomerases","rluA"
"257","centroid_10060","(GenBank) 23S rRNA pseudouridylate 746 synthase","rluA"
"258","centroid_10060","tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]","rluA"
"259","centroid_10062","    2.7.7.7  DNA-directed DNA polymerase","polB"
"260","centroid_10062","   03400 DNA repair and recombination proteins [BR:kpn03400]","polB"
"261","centroid_10062","   2.7.7  Nucleotidyltransferases","polB"
"262","centroid_10062","  09182 Protein families: genetic information processing","polB"
"263","centroid_10062","  2.7  Transferring phosphorus-containing groups","polB"
"264","centroid_10062"," 09180 Brite Hierarchies","polB"
"265","centroid_10062"," 2. Transferases","polB"
"266","centroid_10063","    5.1.3.4  L-ribulose-5-phosphate 4-epimerase","araD"
"267","centroid_10063","   00040 Pentose and glucuronate interconversions","araD"
"268","centroid_10063","   00053 Ascorbate and aldarate metabolism","araD"
"269","centroid_10063","   5.1.3  Acting on carbohydrates and derivatives","araD"
"270","centroid_10063","  09101 Carbohydrate metabolism","araD"
"271","centroid_10063","  5.1  Racemases and epimerases","araD"
"272","centroid_10063"," 09100 Metabolism","araD"
"273","centroid_10063"," 5. Isomerases","araD"
"274","centroid_10068","   02000 Transporters [BR:kpn02000]","yabJ"
"275","centroid_10068","   02010 ABC transporters","yabJ"
"276","centroid_10068","  09131 Membrane transport","yabJ"
"277","centroid_10068","  09183 Protein families: signaling and cellular processes","yabJ"
"278","centroid_10068"," 09130 Environmental Information Processing","yabJ"
"279","centroid_10068"," 09180 Brite Hierarchies","yabJ"
"280","centroid_10069","   02000 Transporters [BR:kpn02000]","thiP"
"281","centroid_10069","   02010 ABC transporters","thiP"
"282","centroid_10069","  09131 Membrane transport","thiP"
"283","centroid_10069","  09183 Protein families: signaling and cellular processes","thiP"
"284","centroid_10069"," 09130 Environmental Information Processing","thiP"
"285","centroid_10069"," 09180 Brite Hierarchies","thiP"
"286","centroid_1007","    3.5.1.124  protein deglycase","thiJ"
"287","centroid_1007","   01002 Peptidases and inhibitors [BR:kpu01002]","thiJ"
"288","centroid_1007","   3.5.1  In linear amides","thiJ"
"289","centroid_1007","  09181 Protein families: metabolism","thiJ"
"290","centroid_1007","  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds","thiJ"
"291","centroid_1007"," 09180 Brite Hierarchies","thiJ"
"292","centroid_1007"," 3. Hydrolases","thiJ"
"293","centroid_10070","   02000 Transporters [BR:kpn02000]","tbpA"
"294","centroid_10070","   02010 ABC transporters","tbpA"
"295","centroid_10070","  09131 Membrane transport","tbpA"
"296","centroid_10070","  09183 Protein families: signaling and cellular processes","tbpA"
"297","centroid_10070"," 09130 Environmental Information Processing","tbpA"
"298","centroid_10070"," 09180 Brite Hierarchies","tbpA"
"299","centroid_1008","    1.1.1.169  2-dehydropantoate 2-reductase","apbA"
"300","centroid_1008","   00770 Pantothenate and CoA biosynthesis","apbA"
"301","centroid_1008","   1.1.1  With NAD+ or NADP+ as acceptor","apbA"
"302","centroid_1008","  09108 Metabolism of cofactors and vitamins","apbA"
"303","centroid_1008","  1.1  Acting on the CH-OH group of donors","apbA"
"304","centroid_1008"," 09100 Metabolism","apbA"
"305","centroid_1008"," 1. Oxidoreductases","apbA"
"306","centroid_1009","   99995 Signaling proteins","(GenBank) conserved hypothetical protein"
"307","centroid_1009","  09193 Unclassified: signaling and cellular processes","(GenBank) conserved hypothetical protein"
"308","centroid_1009"," 09190 Not Included in Pathway or Brite","(GenBank) conserved hypothetical protein"
"309","centroid_101","   03000 Transcription factors [BR:kpu03000]","yijC"
"310","centroid_101","  09182 Protein families: genetic information processing","yijC"
"311","centroid_101"," 09180 Brite Hierarchies","yijC"
"312","centroid_1012","   02000 Transporters [BR:kpu02000]","pcaK"
"313","centroid_1012","  09183 Protein families: signaling and cellular processes","pcaK"
"314","centroid_1012"," 09180 Brite Hierarchies","pcaK"
"315","centroid_10151","    3.6.4.13  RNA helicase","hrpB"
"316","centroid_10151","   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement","hrpB"
"317","centroid_10151","   99980 Enzymes with EC numbers","hrpB"
"318","centroid_10151","  09191 Unclassified: metabolism","hrpB"
"319","centroid_10151","  3.6  Acting on acid anhydrides","hrpB"
"320","centroid_10151"," 09190 Not Included in Pathway or Brite","hrpB"
"321","centroid_10151"," 3. Hydrolases","hrpB"
"322","centroid_10164","   02044 Secretion system [BR:kpn02044]","pulC"
"323","centroid_10164","   03070 Bacterial secretion system","pulC"
"324","centroid_10164","  09131 Membrane transport","pulC"
"325","centroid_10164","  09183 Protein families: signaling and cellular processes","pulC"
"326","centroid_10164"," 09130 Environmental Information Processing","pulC"
"327","centroid_10164"," 09180 Brite Hierarchies","pulC"
"328","centroid_1017","    1.1.1.25  shikimate dehydrogenase","(GenBank) shikimate/quinate 5-dehydrogenase"
"329","centroid_1017","   00400 Phenylalanine, tyrosine and tryptophan biosynthesis","(GenBank) shikimate/quinate 5-dehydrogenase"
"330","centroid_1017","   1.1.1  With NAD+ or NADP+ as acceptor","(GenBank) shikimate/quinate 5-dehydrogenase"
"331","centroid_1017","  09105 Amino acid metabolism","(GenBank) shikimate/quinate 5-dehydrogenase"
"332","centroid_1017","  1.1  Acting on the CH-OH group of donors","(GenBank) shikimate/quinate 5-dehydrogenase"
"333","centroid_1017"," 09100 Metabolism","(GenBank) shikimate/quinate 5-dehydrogenase"
"334","centroid_1017"," 1. Oxidoreductases","(GenBank) shikimate/quinate 5-dehydrogenase"
"335","centroid_1018","   03000 Transcription factors [BR:kpu03000]","(GenBank) putative IclR-family bacterial regulatory protein"
"336","centroid_1018","  09182 Protein families: genetic information processing","(GenBank) putative IclR-family bacterial regulatory protein"
"337","centroid_1018"," 09180 Brite Hierarchies","(GenBank) putative IclR-family bacterial regulatory protein"
"338","centroid_1020","    2.5.1.141  heme o synthase","cyoE"
"339","centroid_1020","   00190 Oxidative phosphorylation","cyoE"
"340","centroid_1020","   00860 Porphyrin and chlorophyll metabolism","cyoE"
"341","centroid_1020","   01006 Prenyltransferases [BR:kpu01006]","cyoE"
"342","centroid_1020","   03029 Mitochondrial biogenesis [BR:kpu03029]","cyoE"
"343","centroid_1020","   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)","cyoE"
"344","centroid_1020","  09102 Energy metabolism","cyoE"
"345","centroid_1020","  09108 Metabolism of cofactors and vitamins","cyoE"
"346","centroid_1020","  09181 Protein families: metabolism","cyoE"
"347","centroid_1020","  09182 Protein families: genetic information processing","cyoE"
"348","centroid_1020","  2.5  Transferring alkyl or aryl groups, other than methyl groups","cyoE"
"349","centroid_1020"," 09100 Metabolism","cyoE"
"350","centroid_1020"," 09180 Brite Hierarchies","cyoE"
"351","centroid_1020"," 2. Transferases","cyoE"
"352","centroid_1021","   00190 Oxidative phosphorylation","cyoD"
"353","centroid_1021","  09102 Energy metabolism","cyoD"
"354","centroid_1021"," 09100 Metabolism","cyoD"
"355","centroid_1022","   00190 Oxidative phosphorylation","cyoC"
"356","centroid_1022","  09102 Energy metabolism","cyoC"
"357","centroid_1022"," 09100 Metabolism","cyoC"
"358","centroid_1023","    7.1.1.3  ubiquinol oxidase (H+-transporting)","cyoB"
"359","centroid_1023","   00190 Oxidative phosphorylation","cyoB"
"360","centroid_1023","   7.1.1  Linked to oxidoreductase reactions","cyoB"
"361","centroid_1023","  09102 Energy metabolism","cyoB"
"362","centroid_1023","  7.1  Catalysing the translocation of hydrons","cyoB"
"363","centroid_1023"," 09100 Metabolism","cyoB"
"364","centroid_1023"," 7. Translocases","cyoB"
"365","centroid_1024","    7.1.1.3  ubiquinol oxidase (H+-transporting)","cyoA"
"366","centroid_1024","   00190 Oxidative phosphorylation","cyoA"
"367","centroid_1024","   7.1.1  Linked to oxidoreductase reactions","cyoA"
"368","centroid_1024","  09102 Energy metabolism","cyoA"
"369","centroid_1024","  7.1  Catalysing the translocation of hydrons","cyoA"
"370","centroid_1024"," 09100 Metabolism","cyoA"
"371","centroid_1024"," 7. Translocases","cyoA"
"372","centroid_1025","   01501 beta-Lactam resistance","ampG"
"373","centroid_1025","   02000 Transporters [BR:kpu02000]","ampG"
"374","centroid_1025","  09175 Drug resistance: antimicrobial","ampG"
"375","centroid_1025","  09183 Protein families: signaling and cellular processes","ampG"
"376","centroid_1025"," 09160 Human Diseases","ampG"
"377","centroid_1025"," 09180 Brite Hierarchies","ampG"
"378","centroid_1026","   99992 Structural proteins","(GenBank) conserved hypothetical protein"
"379","centroid_1026","  09193 Unclassified: signaling and cellular processes","(GenBank) conserved hypothetical protein"
"380","centroid_1026"," 09190 Not Included in Pathway or Brite","(GenBank) conserved hypothetical protein"
"381","centroid_1027","   03000 Transcription factors [BR:kpu03000]","bolA"
"382","centroid_1027","  09182 Protein families: genetic information processing","bolA"
"383","centroid_1027"," 09180 Brite Hierarchies","bolA"
"384","centroid_1029","   99975 Protein processing","tig"
"385","centroid_1029","  09192 Unclassified: genetic information processing","tig"
"386","centroid_1029"," 09190 Not Included in Pathway or Brite","tig"
"387","centroid_103","    2.1.1.35  tRNA (uracil54-C5)-methyltransferase","trmA"
"388","centroid_103","   03016 Transfer RNA biogenesis [BR:kpu03016]","trmA"
"389","centroid_103","   2.1.1  Methyltransferases","trmA"
"390","centroid_103","  09182 Protein families: genetic information processing","trmA"
"391","centroid_103","  2.1  Transferring one-carbon groups","trmA"
"392","centroid_103"," 09180 Brite Hierarchies","trmA"
"393","centroid_103"," 2. Transferases","trmA"
"394","centroid_1030","    3.4.21.92  endopeptidase Clp","clpP"
